"source","intensity","distance","X","Total","Yes","userID","Correct","signal"
"JND-in-Charts/rawdata/bar/100_119.csv",100,261,106.125,10,6,"100_119",6,6.125
"JND-in-Charts/rawdata/bar/100_119.csv",100,261,108,10,3,"100_119",3,8
"JND-in-Charts/rawdata/bar/100_119.csv",100,345,91,10,3,"100_119",7,-9
"JND-in-Charts/rawdata/bar/100_119.csv",100,345,93.125,10,3,"100_119",7,-6.875
"JND-in-Charts/rawdata/bar/100_119.csv",100,345,95.25,10,4,"100_119",6,-4.75
"JND-in-Charts/rawdata/bar/100_119.csv",100,345,97.375,10,5,"100_119",5,-2.625
"JND-in-Charts/rawdata/bar/100_119.csv",100,345,99.5,10,6,"100_119",4,-0.5
"JND-in-Charts/rawdata/bar/100_119.csv",100,345,100.5,11,5,"100_119",5,0.5
"JND-in-Charts/rawdata/bar/100_119.csv",100,345,102.625,10,5,"100_119",5,2.625
"JND-in-Charts/rawdata/bar/100_119.csv",100,345,104.75,10,6,"100_119",6,4.75
"JND-in-Charts/rawdata/bar/100_119.csv",100,345,106.875,10,4,"100_119",4,6.875
"JND-in-Charts/rawdata/bar/100_119.csv",100,345,109,10,4,"100_119",4,9
"JND-in-Charts/rawdata/bar/100_119.csv",150,9,148,10,2,"100_119",8,-2
"JND-in-Charts/rawdata/bar/100_119.csv",150,9,148.475,10,1,"100_119",9,-1.52500000000001
"JND-in-Charts/rawdata/bar/100_119.csv",150,9,148.95,10,1,"100_119",9,-1.05000000000001
"JND-in-Charts/rawdata/bar/100_119.csv",150,9,149.425,10,2,"100_119",8,-0.574999999999989
"JND-in-Charts/rawdata/bar/100_119.csv",150,9,149.9,11,4,"100_119",7,-0.0999999999999943
"JND-in-Charts/rawdata/bar/100_119.csv",150,9,150.1,10,3,"100_119",3,0.0999999999999943
"JND-in-Charts/rawdata/bar/100_119.csv",150,9,150.575,10,6,"100_119",6,0.574999999999989
"JND-in-Charts/rawdata/bar/100_119.csv",150,9,151.05,10,7,"100_119",7,1.05000000000001
"JND-in-Charts/rawdata/bar/100_119.csv",150,9,151.525,10,7,"100_119",7,1.52500000000001
"JND-in-Charts/rawdata/bar/100_119.csv",150,9,152,10,9,"100_119",9,2
"JND-in-Charts/rawdata/bar/100_119.csv",150,93,145,10,2,"100_119",8,-5
"JND-in-Charts/rawdata/bar/100_119.csv",150,93,146.125,10,1,"100_119",9,-3.875
"JND-in-Charts/rawdata/bar/100_119.csv",150,93,147.25,10,1,"100_119",9,-2.75
"JND-in-Charts/rawdata/bar/100_119.csv",150,93,148.375,10,4,"100_119",6,-1.625
"JND-in-Charts/rawdata/bar/100_119.csv",150,93,149.5,10,5,"100_119",5,-0.5
"JND-in-Charts/rawdata/bar/100_119.csv",150,93,150.5,9,5,"100_119",5,0.5
"JND-in-Charts/rawdata/bar/100_119.csv",150,93,151.625,10,6,"100_119",6,1.625
"JND-in-Charts/rawdata/bar/100_119.csv",150,93,152.75,10,5,"100_119",5,2.75
"JND-in-Charts/rawdata/bar/100_119.csv",150,93,153.875,10,4,"100_119",4,3.875
"JND-in-Charts/rawdata/bar/100_119.csv",150,93,155,10,7,"100_119",7,5
"JND-in-Charts/rawdata/bar/100_119.csv",150,177,143,10,1,"100_119",9,-7
"JND-in-Charts/rawdata/bar/100_119.csv",150,177,144.625,10,6,"100_119",4,-5.375
"JND-in-Charts/rawdata/bar/100_119.csv",150,177,146.25,10,4,"100_119",6,-3.75
"JND-in-Charts/rawdata/bar/100_119.csv",150,177,147.875,10,6,"100_119",4,-2.125
"JND-in-Charts/rawdata/bar/100_119.csv",150,177,149.5,9,4,"100_119",5,-0.5
"JND-in-Charts/rawdata/bar/100_119.csv",150,177,150.5,9,3,"100_119",3,0.5
"JND-in-Charts/rawdata/bar/100_119.csv",150,177,152.125,10,5,"100_119",5,2.125
"JND-in-Charts/rawdata/bar/100_119.csv",150,177,153.75,10,8,"100_119",8,3.75
"JND-in-Charts/rawdata/bar/100_119.csv",150,177,155.375,10,8,"100_119",8,5.375
"JND-in-Charts/rawdata/bar/100_119.csv",150,177,157,10,8,"100_119",8,7
"JND-in-Charts/rawdata/bar/100_119.csv",150,261,142,10,5,"100_119",5,-8
"JND-in-Charts/rawdata/bar/100_119.csv",150,261,143.875,10,5,"100_119",5,-6.125
"JND-in-Charts/rawdata/bar/100_119.csv",150,261,145.75,10,2,"100_119",8,-4.25
"JND-in-Charts/rawdata/bar/100_119.csv",150,261,147.625,10,8,"100_119",2,-2.375
"JND-in-Charts/rawdata/bar/100_119.csv",150,261,149.5,10,6,"100_119",4,-0.5
"JND-in-Charts/rawdata/bar/100_119.csv",150,261,150.5,10,3,"100_119",3,0.5
"JND-in-Charts/rawdata/bar/100_119.csv",150,261,152.375,11,5,"100_119",5,2.375
"JND-in-Charts/rawdata/bar/100_119.csv",150,261,154.25,10,5,"100_119",5,4.25
"JND-in-Charts/rawdata/bar/100_119.csv",150,261,156.125,10,4,"100_119",4,6.125
"JND-in-Charts/rawdata/bar/100_119.csv",150,261,158,11,7,"100_119",7,8
"JND-in-Charts/rawdata/bar/100_119.csv",150,345,141,10,0,"100_119",10,-9
"JND-in-Charts/rawdata/bar/100_119.csv",150,345,143.125,10,2,"100_119",8,-6.875
